Fod size : 5	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 496	 Bl ({A}) : 240	S({A};B) : 255	Cond Belief : 1
Fod size : 5	|A| : 2	|B| : 1	Bl (B) :1	 Nlz : 496	 Bl ({A}) : 112	S({A};B) : 119	Cond Belief : 0.00377358
Fod size : 5	|A| : 2	|B| : 2	Bl (B) :6	 Nlz : 496	 Bl ({A}) : 112	S({A};B) : 378	Cond Belief : 1
Fod size : 5	|A| : 3	|B| : 1	Bl (B) :2	 Nlz : 496	 Bl ({A}) : 48	S({A};B) : 54	Cond Belief : 0.00507614
Fod size : 5	|A| : 3	|B| : 2	Bl (B) :10	 Nlz : 496	 Bl ({A}) : 48	S({A};B) : 174	Cond Belief : 0.0364964
Fod size : 5	|A| : 3	|B| : 3	Bl (B) :28	 Nlz : 496	 Bl ({A}) : 48	S({A};B) : 420	Cond Belief : 1
Fod size : 5	|A| : 4	|B| : 1	Bl (B) :1	 Nlz : 496	 Bl ({A}) : 16	S({A};B) : 17	Cond Belief : 0.00215983
Fod size : 5	|A| : 4	|B| : 2	Bl (B) :18	 Nlz : 496	 Bl ({A}) : 16	S({A};B) : 66	Cond Belief : 0.0434783
Fod size : 5	|A| : 4	|B| : 3	Bl (B) :52	 Nlz : 496	 Bl ({A}) : 16	S({A};B) : 164	Cond Belief : 0.164557
Fod size : 5	|A| : 4	|B| : 4	Bl (B) :120	 Nlz : 496	 Bl ({A}) : 16	S({A};B) : 360	Cond Belief : 1
Fod size : 5	|A| : 5	|B| : 1	Bl (B) :2	 Nlz : 496	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00403226
Fod size : 5	|A| : 5	|B| : 2	Bl (B) :34	 Nlz : 496	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0685484
Fod size : 5	|A| : 5	|B| : 3	Bl (B) :52	 Nlz : 496	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.104839
Fod size : 5	|A| : 5	|B| : 4	Bl (B) :216	 Nlz : 496	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.435484
Fod size : 5	|A| : 5	|B| : 5	Bl (B) :496	 Nlz : 496	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1
FoD size : 5 Time spent : 0
Fod size : 10	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 523776	 Bl ({A}) : 261632	S({A};B) : 262143	Cond Belief : 1
Fod size : 10	|A| : 2	|B| : 1	Bl (B) :1	 Nlz : 523776	 Bl ({A}) : 130560	S({A};B) : 130815	Cond Belief : 3.81096e-06
Fod size : 10	|A| : 2	|B| : 2	Bl (B) :6	 Nlz : 523776	 Bl ({A}) : 130560	S({A};B) : 393210	Cond Belief : 1
Fod size : 10	|A| : 3	|B| : 1	Bl (B) :2	 Nlz : 523776	 Bl ({A}) : 65024	S({A};B) : 65278	Cond Belief : 5.08293e-06
Fod size : 10	|A| : 3	|B| : 2	Bl (B) :10	 Nlz : 523776	 Bl ({A}) : 65024	S({A};B) : 196342	Cond Belief : 3.81083e-05
